gönder app,campaign_network,adgroup_network,day,installs,ecpi,cost,all_revenue,roas_d0,roas_d1,roas_d2,roas_d3,roas_d4,roas_d5,roas_d6,roas_d7,roas_d14,roas_d21,roas_d30,roas_d45
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_34631_206791,2025-07-27,4,2.5,10.0,2.8349,0.2136,0.2847,0.2856,0.2981,0.3031,0.3111,0.3119,0.3123,0.4771,0.4864,0.4864,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_34631_207555,2025-07-27,4,2.5,10.0,17.9742,1.7973,1.8094,1.818,1.818,1.8183,1.8183,1.8183,1.8183,1.8183,1.8228,1.8331,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_49558_208163,2025-07-27,4,2.5,10.0,9.0371,0.762,0.7623,0.7689,0.7689,0.7689,0.7689,0.7689,0.7689,0.9337,1.0342,1.0621,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_50098_208234,2025-07-27,4,2.5,10.0,13.6034,0.1181,0.1844,0.2214,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.0
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_34631_207793,2025-07-27,4,3.0,12.0,1.9313,0.1768,0.1768,0.1768,0.1768,0.1768,0.177,0.177,0.2593,0.554,0.554,0.554,0.0
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_45209_,2025-07-27,4,3.0,9.0,8.9232,1.2084,1.2085,1.2429,1.7952,1.9538,2.1882,2.354,2.4474,3.9816,7.6606,12.2842,0.0
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_45209_208253,2025-07-27,4,3.0,12.0,0.9867,0.0901,0.0901,0.0901,0.0901,0.0901,0.0901,0.0901,0.0901,0.0901,0.0901,0.0901,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_34631_200540,2025-07-27,3,2.5,5.0,4.2881,0.7802,0.7802,0.8575,0.8575,0.8575,0.8575,0.8575,0.8575,0.8575,0.8575,0.8575,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_34631_207364,2025-07-27,3,2.5,7.5,6.0218,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_34631_207509,2025-07-27,3,2.5,7.5,1.5881,0.1857,0.1857,0.1857,0.1857,0.1857,0.232,0.232,0.232,0.232,0.232,0.232,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_34631_208110,2025-07-27,3,2.5,7.5,3.6895,0.3195,0.3195,0.3195,0.3195,0.3195,0.3195,0.3195,0.3195,0.3195,0.3195,0.36,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_45209_207608,2025-07-27,3,2.5,7.5,3.202,0.2587,0.3276,0.3291,0.3291,0.3359,0.3359,0.3359,0.3403,0.3797,0.4457,0.4779,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_45209_207793,2025-07-27,3,2.5,7.5,4.2253,0.5825,0.5825,0.5825,0.5825,0.5825,0.5825,0.5825,0.5825,0.5825,0.5825,0.5825,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_45209_208110,2025-07-27,3,2.5,7.5,4.3866,0.5849,0.5849,0.5849,0.5849,0.5849,0.5849,0.5849,0.5849,0.7201,0.7201,0.7201,0.0
Bus Frenzy,AppSa_BusFrenzy_iOS_CA_CPE,SPE_WUpaY0xnb1A3QWNh,2025-07-27,3,2.0,4.0,7.5614,0.3775,0.3775,0.3775,0.3775,0.3775,0.3775,0.3775,0.3775,0.3775,0.3775,0.3775,0.0
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_34631_205841,2025-07-27,3,3.0,9.0,2.1343,0.2435,0.2507,0.2507,0.2507,0.2507,0.2507,0.2507,0.2507,0.2518,0.2518,0.2518,0.0
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_34631_208253,2025-07-27,3,3.0,6.0,0.6496,0.1083,0.1083,0.1083,0.1083,0.1083,0.1083,0.1083,0.1083,0.1185,0.1185,0.1185,0.0
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_45209_203540,2025-07-27,3,3.0,6.0,0.5687,0.0948,0.0948,0.0948,0.0948,0.0948,0.0948,0.0948,0.0948,0.0948,0.0948,0.0948,0.0
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_45209_207555,2025-07-27,3,3.0,9.0,6.9309,0.1251,0.1251,0.1251,0.1251,0.1251,0.1251,0.1251,0.1251,0.1251,0.1251,0.1251,0.0
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_45209_207608,2025-07-27,3,3.0,9.0,13.3253,0.6836,0.74,0.8258,0.8319,0.8319,0.8319,0.8319,0.8319,0.8319,0.8319,0.8319,0.0
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_45209_208110,2025-07-27,3,3.0,9.0,10.4735,1.1621,1.2433,1.2433,1.2433,1.2433,1.2433,1.2433,1.2433,1.2433,1.2433,1.2433,0.0
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_45209_208179,2025-07-27,3,3.0,9.0,4.9624,0.8036,0.8942,0.9078,0.9408,0.9811,0.9811,1.0264,1.0264,1.0264,1.0399,1.0428,0.0
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_45209_300576,2025-07-27,3,3.0,9.0,8.0023,0.1447,0.1738,0.1738,0.1738,0.174,0.174,0.1848,0.1851,0.1989,0.2953,0.2971,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_34631_200789,2025-07-27,2,2.5,5.0,1.039,0.2078,0.2078,0.2078,0.2078,0.2078,0.2078,0.2078,0.2078,0.2078,0.2078,0.2078,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_34631_204147,2025-07-27,2,2.5,2.5,0.7137,0.1657,0.1657,0.1657,0.1657,0.1657,0.1657,0.1657,0.1657,0.1657,0.1657,0.1657,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_34631_205907,2025-07-27,2,2.5,5.0,1.2676,0.2008,0.2768,0.2768,0.2768,0.347,0.347,0.347,0.347,0.347,0.347,0.347,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_34631_207746,2025-07-27,2,2.5,5.0,3.6714,0.7955,0.9453,1.0194,1.0893,1.0893,1.1032,1.178,1.2106,1.2106,1.2106,1.5103,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_34631_208231,2025-07-27,2,2.5,5.0,0.818,0.1806,0.2564,0.2564,0.3083,0.3083,0.3083,0.3083,0.3083,0.3083,0.3083,0.3083,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_45209_201946,2025-07-27,2,2.5,2.5,1.424,0.5696,0.5696,0.5696,0.5696,0.5696,0.5696,0.5696,0.5696,0.5696,0.5696,0.5696,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_45209_206791,2025-07-27,2,2.5,5.0,8.0118,1.6024,1.7183,1.9657,1.9779,1.9779,1.9966,2.1994,2.1994,2.2838,2.3097,2.3216,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_45209_207364,2025-07-27,2,2.5,5.0,3.1055,0.6211,0.6483,0.6483,0.6483,0.6483,0.6483,0.6483,0.6483,0.6483,0.6483,0.6483,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_45209_207632,2025-07-27,2,2.5,5.0,0.3936,0.1208,0.1208,0.1208,0.1208,0.1208,0.1208,0.1208,0.1208,0.1208,0.1208,0.1208,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_45209_300576,2025-07-27,2,2.5,5.0,4.8345,1.0521,1.0521,1.0521,1.0521,1.1542,1.1542,1.1542,1.1542,1.5329,1.5329,1.5329,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_MTkxNDF8,2025-07-27,2,2.5,5.0,77.2615,0.0229,0.0416,0.0484,0.0594,0.2463,0.5126,0.5126,0.5126,0.5126,0.5548,0.5548,0.0
Bus Frenzy,AppSa_BusFrenzy_iOS_AU_CPE,SPE_WUpaY0xnb1A3QWNh,2025-07-27,2,2.0,4.0,1.6576,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.0
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_34631_203540,2025-07-27,2,3.0,3.0,1.7463,0.5694,0.5803,0.5803,0.5803,0.5803,0.5803,0.6052,0.6052,0.6052,0.6052,0.6052,0.0
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_34631_206599,2025-07-27,2,3.0,6.0,0.1414,0.0236,0.0236,0.0236,0.0236,0.0236,0.0236,0.0236,0.0236,0.0236,0.0236,0.0236,0.0
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_34631_207555,2025-07-27,2,3.0,6.0,7.9411,0.1385,0.2325,0.2848,0.3548,0.3548,0.3548,0.3548,0.4404,0.4404,0.4404,0.4404,0.0
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_45209_203279,2025-07-27,2,3.0,6.0,0.29,0.0483,0.0759,0.0759,0.0759,0.0759,0.0759,0.0759,0.0759,0.0759,0.0759,0.0759,0.0
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_45209_205841,2025-07-27,2,3.0,6.0,0.5433,0.8886,0.8904,0.8904,0.8904,0.8904,0.8904,0.8904,0.8904,0.8904,0.8904,1.4204,0.0
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_45209_206599,2025-07-27,2,3.0,6.0,3.0313,0.1458,0.1458,0.1616,0.1633,0.1688,0.1688,0.1786,0.1835,0.2122,0.2122,0.2122,0.0
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_45209_207962,2025-07-27,2,3.0,6.0,29.44,4.9067,4.9235,4.9235,4.9235,4.9235,4.9235,4.9382,4.9382,4.9459,4.9734,4.9743,0.0
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_49558_208162,2025-07-27,2,3.0,3.0,14.9009,5.4613,5.5903,7.0928,7.1136,7.1136,7.1136,7.1136,7.1136,7.1136,7.1136,7.1136,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,LV9UVnNKZTY4WjZW,2025-07-27,1,2.5,2.5,14.2533,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_34631_,2025-07-27,1,2.5,2.5,2.6009,0.3547,0.3547,0.3547,0.3547,0.3547,0.3547,0.3547,0.3547,0.3547,0.3547,0.3547,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_34631_203279,2025-07-27,1,2.5,2.5,0.8542,0.3417,0.3417,0.3417,0.3417,0.3417,0.3417,0.3417,0.3417,0.3417,0.3417,0.3417,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_34631_204590,2025-07-27,1,2.5,2.5,2.507,0.7693,0.829,0.829,0.829,0.829,0.829,0.829,0.829,1.052,1.052,1.052,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_34631_204627,2025-07-27,1,2.5,2.5,0.2068,0.0827,0.0827,0.0827,0.0827,0.0827,0.0827,0.0827,0.0827,0.0827,0.0827,0.0827,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_34631_205771,2025-07-27,1,2.5,2.5,1.9206,0.7682,0.7682,0.7682,0.7682,0.7682,0.7682,0.7682,0.7682,0.7682,0.7682,0.7682,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_34631_206599,2025-07-27,1,2.5,2.5,0.0,0.0212,0.0668,0.0668,0.0668,0.0668,0.1053,0.1053,0.1053,0.1053,0.1053,0.1053,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_34631_206811,2025-07-27,1,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_34631_207675,2025-07-27,1,2.5,2.5,1.1176,0.0579,0.0579,0.0579,0.0579,0.0579,0.0579,0.0579,0.0579,0.0579,0.0579,0.0579,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_34631_207798,2025-07-27,1,2.5,2.5,1.8289,0.7316,0.7316,0.7316,0.7316,0.7316,0.7316,0.7316,0.7316,0.7316,0.7316,0.7316,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_34631_207962,2025-07-27,1,2.5,2.5,1.0421,0.0296,0.0296,0.0296,0.0296,0.0296,0.0296,0.0296,0.0296,0.0296,0.0296,0.0296,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_34631_208243,2025-07-27,1,2.5,2.5,4.0902,0.0599,0.0599,0.0599,0.0741,0.0741,0.0741,0.0741,0.0741,0.0741,0.0741,0.0741,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_45209_,2025-07-27,1,2.5,2.5,2.0648,0.7997,1.5293,1.5293,1.5293,1.5293,1.5293,1.5293,1.5293,1.5293,1.5293,1.5293,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_45209_203285,2025-07-27,1,0.0,0.0,1.0605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_45209_204147,2025-07-27,1,2.5,2.5,0.3324,0.1819,0.1819,0.2858,0.2858,0.2858,0.2858,0.2858,0.2858,0.3326,0.477,0.477,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_45209_204663,2025-07-27,1,2.5,2.5,0.706,0.3278,0.4156,0.5376,0.5716,0.637,0.6618,0.7303,0.7305,1.6676,1.8234,1.8234,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_45209_205771,2025-07-27,1,2.5,2.5,0.0409,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_45209_205780,2025-07-27,1,2.5,2.5,0.5358,0.5367,0.5367,0.5367,0.5367,0.5367,0.5367,1.225,1.225,1.225,1.225,1.225,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_45209_206599,2025-07-27,1,0.0,0.0,0.1761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_45209_206948,2025-07-27,1,2.5,2.5,0.0685,0.0274,0.0274,0.0274,0.0274,0.0274,0.0274,0.0274,0.0274,0.0274,0.0412,0.0412,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_45209_207675,2025-07-27,1,2.5,2.5,0.1359,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_45209_208358,2025-07-27,1,2.5,2.5,0.1127,0.0451,0.0451,0.0451,0.0469,0.0469,0.0469,0.0469,0.0469,0.0469,0.0469,0.0469,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_49378_,2025-07-27,1,2.5,2.5,1.483,0.5932,0.5932,0.5932,0.5932,0.5932,0.5932,0.5932,0.5932,0.5932,0.5932,0.5932,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_49378_206305,2025-07-27,1,2.5,2.5,1.2011,0.421,0.421,0.421,0.421,0.421,0.421,0.421,0.421,0.421,0.421,0.421,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_49388_206305,2025-07-27,1,2.5,2.5,3.52,1.5087,1.856,1.856,1.9481,1.9481,1.9481,1.9481,1.9481,2.2201,2.3126,2.3126,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_49788_208005,2025-07-27,1,2.5,2.5,0.0393,0.0157,0.0157,0.0157,0.0157,0.0157,0.0157,0.0157,0.0157,0.0157,0.0157,0.0157,0.0
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_34631_206305,2025-07-27,1,3.0,3.0,1.2962,0.1771,0.1771,0.1771,0.1771,0.1771,0.1771,0.1771,0.1771,0.1771,0.1771,0.1771,0.0
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_34631_206814,2025-07-27,1,3.0,3.0,0.3308,0.1103,0.1103,0.1103,0.1103,0.1103,0.1103,0.1103,0.1103,0.1103,0.1103,0.1103,0.0
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_34631_206948,2025-07-27,1,3.0,3.0,0.5987,2.3015,2.3015,2.3015,2.3015,2.3015,2.3015,2.3015,2.3015,2.3015,2.3015,2.3015,0.0
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_34631_207691,2025-07-27,1,3.0,3.0,0.6062,0.2021,0.2021,0.2021,0.2021,0.2021,0.2021,0.2021,0.2021,0.2021,0.2021,0.2021,0.0
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_34631_208098,2025-07-27,1,3.0,3.0,0.0692,0.0231,0.0231,0.0231,0.0231,0.0231,0.0231,0.0231,0.0231,0.0231,0.0231,0.0231,0.0
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_45209_201623,2025-07-27,1,3.0,3.0,0.0625,0.0208,0.0208,0.0208,0.0208,0.0208,0.0208,0.0208,0.0208,0.0208,0.0208,0.0208,0.0
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_45209_201946,2025-07-27,1,3.0,3.0,0.2026,0.0675,0.0675,0.0675,0.0675,0.0675,0.0675,0.0675,0.0675,0.0675,0.0675,0.0675,0.0
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_45209_202796,2025-07-27,1,0.0,0.0,1.1915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_45209_203285,2025-07-27,1,3.0,3.0,0.2036,0.0679,0.0679,0.0679,0.0679,0.0679,0.0679,0.0679,0.0679,0.0679,0.0679,0.0679,0.0
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_45209_204590,2025-07-27,1,3.0,3.0,0.3264,0.1349,0.2606,0.3346,0.3796,0.3796,0.3796,0.3796,0.3796,0.3887,0.3887,0.3887,0.0
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_45209_205192,2025-07-27,1,3.0,3.0,0.3822,0.1274,2.1843,6.7461,6.7461,6.7461,6.7461,6.7461,6.7461,6.7461,6.7461,6.7461,0.0
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_45209_206305,2025-07-27,1,3.0,3.0,0.3979,0.1326,0.2445,0.2445,0.2445,0.2445,0.2445,0.2445,0.2445,0.2448,0.2448,0.2448,0.0
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_45209_206791,2025-07-27,1,3.0,3.0,0.2536,0.0845,0.1168,0.1168,0.1168,0.1168,0.1168,0.1168,0.1168,0.1168,0.1168,0.2786,0.0
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_45209_207364,2025-07-27,1,3.0,3.0,1.2322,0.4092,0.4092,0.4092,0.4092,0.4092,0.4092,0.4092,0.4092,0.4092,0.4092,0.4092,0.0
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_45209_207650,2025-07-27,1,3.0,3.0,0.2896,0.3891,0.556,0.556,0.556,0.556,0.556,0.556,0.556,0.556,0.556,0.556,0.0
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_45209_4136,2025-07-27,1,3.0,3.0,0.8393,0.2798,0.2798,0.2798,0.2798,0.2798,0.2798,0.2798,0.2798,0.2798,0.2798,0.2798,0.0
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_49788_208005,2025-07-27,1,3.0,3.0,0.0312,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0
Venomidle Survive,AppSa_Alien_GP_US_CPI,LV9UVnNKZTY4WjZW,2025-07-27,0,0.0,0.0,0.8226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Venomidle Survive,AppSa_Alien_GP_US_CPI,WUpaY0xnb1A3QWNh,2025-07-27,0,0.0,0.0,5.7437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Venomidle Survive,AppSa_Alien_iOS_US_CPI,WUpaY0xnb1A3QWNh,2025-07-27,0,0.0,0.0,32.618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_34631_199679,2025-07-27,0,0.0,0.0,0.2162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_34631_200452,2025-07-27,0,0.0,0.0,0.2889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_34631_201098,2025-07-27,0,0.0,0.0,0.0445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_34631_206095,2025-07-27,0,0.0,0.0,0.0889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_34631_206305,2025-07-27,0,0.0,0.0,0.2047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_34631_206636,2025-07-27,0,0.0,0.0,0.7195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_34631_207936,2025-07-27,0,0.0,0.0,0.2973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_34631_208179,2025-07-27,0,0.0,0.0,0.3674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_34631_208198,2025-07-27,0,0.0,0.0,0.3672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_45209_200452,2025-07-27,0,0.0,0.0,0.6243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_45209_200506,2025-07-27,0,0.0,0.0,0.309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_45209_200540,2025-07-27,0,0.0,0.0,0.7017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_45209_203540,2025-07-27,0,0.0,0.0,1.3676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_45209_205907,2025-07-27,0,0.0,0.0,0.2409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_45209_206305,2025-07-27,0,0.0,0.0,0.0026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_45209_207962,2025-07-27,0,0.0,0.0,1.1969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_45209_208198,2025-07-27,0,0.0,0.0,0.2823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_49388_300576,2025-07-27,0,0.0,0.0,0.2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_49558_,2025-07-27,0,0.0,0.0,0.6437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SAP_LV9UVnNKZTY4WjZW,2025-07-27,0,0.0,0.0,1.6165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_34631_200452,2025-07-27,0,0.0,0.0,0.6683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_34631_200540,2025-07-27,0,0.0,0.0,0.0601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_34631_205907,2025-07-27,0,0.0,0.0,0.168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_34631_206636,2025-07-27,0,0.0,0.0,0.1312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_34631_207608,2025-07-27,0,0.0,0.0,0.4017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_34631_207888,2025-07-27,0,0.0,0.0,0.1848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_34631_208129,2025-07-27,0,0.0,0.0,0.4973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_34631_208179,2025-07-27,0,0.0,0.0,3.3692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
