app,campaign_network,adgroup_network,day,installs,ecpi,cost,all_revenue,roas_d0,roas_d1,roas_d2,roas_d3,roas_d4,roas_d5,roas_d6,roas_d7,roas_d14,roas_d21,roas_d30,roas_d45
Frozen Fisher,FrozenFisher_AND_DE_CPI_PTSDK,NTI4,2025-08-15,9,0.5,4.0,0.847,0.2038,0.2038,0.2038,0.2038,0.2038,0.2038,0.2038,0.2038,0.2038,0.2038,0.2038,0.2038
Frozen Fisher,FrozenFisher_AND_DE_CPI_PTSDK,NTI4,2025-08-22,9,0.5,4.5,0.7421,0.1342,0.1342,0.1342,0.1342,0.1342,0.1342,0.1342,0.1342,0.1342,0.1342,0.1342,0.1342
Frozen Fisher,FrozenFisher_AND_FR_CPI_PTSDK,MzI5,2025-07-02,9,0.5,4.5,1.8058,0.1204,0.1503,0.1767,0.1847,0.1877,0.1938,0.1994,0.2012,0.2198,0.2198,0.2198,0.2198
Frozen Fisher,FrozenFisher_AND_FR_CPI_PTSDK,NjEy,2025-07-02,9,0.5,3.0,0.131,0.0437,0.0437,0.0437,0.0437,0.0437,0.0437,0.0437,0.0437,0.0437,0.0437,0.0437,0.0437
Frozen Fisher,FrozenFisher_AND_FR_CPI_PTSDK,NTIx,2025-07-20,9,0.5,3.5,0.7829,0.1945,0.1978,0.1978,0.1991,0.1991,0.1991,0.1991,0.1991,0.1991,0.1991,0.1991,0.1991
Frozen Fisher,FrozenFisher_AND_FR_CPI_PTSDK,NTIx,2025-08-22,9,0.5,4.0,0.3278,0.0364,0.0489,0.0596,0.0596,0.0596,0.0596,0.0596,0.0596,0.0596,0.0596,0.0596,0.0596
Frozen Fisher,FrozenFisher_AND_KR_CPA_SBL,OXBJQnZVZ0Rjclhn,2025-07-10,9,0.0,10.12,8.4591,0.2332,0.244,0.2441,0.2441,0.2441,0.2441,0.2441,0.2441,0.2441,0.2441,0.2441,0.2441
Frozen Fisher,FrozenFisher_AND_KR_CPA_SBL,OXBJQnZVZ0Rjclhn,2025-07-27,9,0.0,2.05,4.4803,0.7809,0.8747,0.8747,0.8747,0.8747,0.8747,0.8747,0.8747,0.8747,0.8747,0.8747,0.8747
Frozen Fisher,FrozenFisher_AND_KR_CPA_SBL,OXBJQnZVZ0Rjclhn,2025-08-05,9,0.0,1.12,6.756,2.232,2.232,2.232,2.232,2.232,2.232,2.232,2.232,2.232,2.232,2.232,2.232
Frozen Fisher,FrozenFisher_AND_T1_CPA_SPE_Int,WUpaY0xnb1A3QWNh,2025-07-09,9,0.0,5.05,2.1838,0.2453,0.4008,0.4137,0.4231,0.4231,0.4231,0.4232,0.4232,0.4232,0.451,0.451,0.451
Frozen Fisher,FrozenFisher_AND_T1_CPA_SPE_Int,WUpaY0xnb1A3QWNh,2025-08-09,9,0.0,3.87,8.0354,0.5475,0.7632,0.7632,0.7632,0.7632,0.8012,0.8012,0.8012,0.8012,0.8012,0.8012,0.8012
Frozen Fisher,FrozenFisher_AND_T1_CPA_SPE_Int,WUpaY0xnb1A3QWNh,2025-08-19,9,0.0,1.6,2.395,0.8306,1.1176,1.1252,1.3362,1.5978,1.7391,1.7391,1.8352,2.2204,2.2204,2.2204,2.2204
Frozen Fisher,FrozenFisher_AND_T1_CPA_SPE_Int,WUpaY0xnb1A3QWNh,2025-08-24,9,0.0,2.0,2.3818,0.5913,0.6669,0.7799,0.8038,0.8049,0.8049,0.8049,0.8049,0.8049,0.8049,0.8049,0.8049
Frozen Fisher,FrozenFisher_AND_T1_CPI_PTSDK_SSR,NjYx,2025-07-02,9,0.5,4.0,2.4737,0.4026,0.5174,0.566,0.649,0.6751,0.6998,0.6998,0.6998,0.896,0.9788,0.9798,0.9798
Frozen Fisher,FrozenFisher_AND_T2_CPI_PTSDK_SSR,NjYx,2025-08-02,9,0.5,3.5,6.8844,0.3806,0.7045,0.7045,0.7045,0.7045,0.7357,0.7357,0.7844,0.7939,0.8079,0.8079,0.8079
Frozen Fisher,FrozenFisher_AND_T2_CPI_PTSDK_SSR,NjYx,2025-08-05,9,0.5,4.0,4.2239,0.289,0.389,0.403,0.4162,0.4398,0.4398,0.4398,0.4552,0.4696,0.5918,0.5918,0.5918
Frozen Fisher,FrozenFisher_AND_T2_CPI_PTSDK_SSR,NjYx,2025-08-22,9,0.5,4.0,1.3422,0.1448,0.1448,0.1448,0.1448,0.1471,0.1471,0.1471,0.1471,0.1471,0.1471,0.1471,0.1471
Frozen Fisher,FrozenFisher_AND_UK_CPI_PTSDK,MTE5,2025-07-28,9,0.5,4.5,1.6513,0.2152,0.2312,0.2334,0.2334,0.2334,0.2334,0.2334,0.2334,0.2334,0.2334,0.2334,0.2334
Frozen Fisher,FrozenFisher_AND_UK_CPI_PTSDK,MTE5,2025-08-13,9,0.5,4.5,1.9393,0.3718,0.4282,0.7518,0.7518,0.7518,0.7518,0.7518,0.7518,0.7518,0.7518,0.7518,0.7518
Frozen Fisher,FrozenFisher_AND_UK_CPI_PTSDK,NTI4,2025-07-30,9,0.5,4.0,1.0999,0.2607,0.2607,0.2607,0.2607,0.2607,0.2607,0.2607,0.2607,0.2607,0.2642,0.2642,0.2642
Frozen Fisher,FrozenFisher_AND_UK_CPI_PTSDK,NTI4,2025-08-02,9,0.5,3.5,0.9665,0.1774,0.1774,0.1774,0.1774,0.1774,0.1774,0.1774,0.2036,0.2036,0.2457,0.2457,0.2457
Frozen Fisher,FrozenFisher_AND_UK_CPI_PTSDK,NTI4,2025-08-15,9,0.5,3.5,1.0077,0.2116,0.2116,0.2116,0.2116,0.2116,0.2116,0.2116,0.2116,0.2116,0.2116,0.2116,0.2116
Frozen Fisher,FrozenFisher_AND_UK_CPI_PTSDK,NTIx,2025-08-02,9,0.5,2.5,1.0835,0.4199,0.4405,0.4405,0.4405,0.4405,0.458,0.458,0.458,0.458,0.458,0.4821,0.4821
Frozen Fisher,FrozenFisher_AND_UK_CPI_PTSDK,NTIx,2025-08-17,9,0.5,3.5,1.1933,0.2846,0.3769,0.3769,0.3769,0.3769,0.3769,0.3769,0.3769,0.3769,0.3769,0.3769,0.3769
Frozen Fisher,FrozenFisher_AND_US_CPA_SCR,OTlwSkZrSHNEcm01,2025-08-02,9,0.0,0.5,2.7417,4.3102,4.3102,4.3102,4.3102,4.3102,4.3102,4.3102,4.3102,4.3102,4.3102,4.3102,4.3102
Frozen Fisher,FrozenFisher_AND_US_CPA_SCR,OTlwSkZrSHNEcm01,2025-08-04,9,0.0,0.0,1.5023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frozen Fisher,FrozenFisher_AND_US_CPA_SCR,OTlwSkZrSHNEcm01,2025-08-05,9,0.0,0.5,3.8244,6.9138,6.9138,6.9138,6.9138,6.9138,6.9138,6.9138,6.9138,6.9218,6.9218,6.9218,6.9218
Frozen Fisher,FrozenFisher_AND_US_CPA_SCR,OTlwSkZrSHNEcm01,2025-08-06,9,0.0,1.0,3.3485,3.0537,3.0537,3.0537,3.0537,3.0537,3.0537,3.0537,3.0537,3.0537,3.0539,3.0539,3.0539
Frozen Fisher,FrozenFisher_AND_US_CPA_SCR,OTlwSkZrSHNEcm01,2025-08-08,9,0.0,2.0,3.1104,1.1043,1.1046,1.1046,1.1046,1.1046,1.1046,1.1046,1.1046,1.1672,1.1672,1.1672,1.1672
Frozen Fisher,FrozenFisher_AND_US_CPA_SCR,OTlwSkZrSHNEcm01,2025-08-14,9,0.0,2.5,6.0444,2.4178,2.4178,2.4178,2.4178,2.4178,2.4178,2.4178,2.4178,2.4178,2.4178,2.4178,2.4178
Frozen Fisher,FrozenFisher_AND_US_CPA_SCR,OTlwSkZrSHNEcm01,2025-08-15,9,0.0,1.8,8.2267,2.8017,2.8017,2.8017,2.8017,2.8017,2.8017,2.8017,2.8017,2.8017,2.8017,2.8017,2.8017
Frozen Fisher,FrozenFisher_AND_US_CPA_STS,U0lUMGVWeWhvZWtn,2025-07-19,9,0.0,0.86,1.8009,1.3378,1.867,2.2334,2.5219,2.5219,2.7674,3.0644,3.0644,5.2884,5.2884,5.2884,5.2884
Frozen Fisher,FrozenFisher_AND_US_CPA_STS,U0lUMGVWeWhvZWtn,2025-07-23,9,0.0,3.02,3.0047,0.7725,0.8279,0.8653,0.9855,1.0291,1.2387,1.4163,1.4328,1.4328,1.4328,1.4328,1.4328
Frozen Fisher,FrozenFisher_AND_US_CPI_PTSDK,NjI3,2025-08-01,9,0.5,4.5,2.5544,0.5676,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607
Frozen Fisher,FrozenFisher_AND_US_CPI_PTSDK,NjQy,2025-07-14,9,0.5,4.5,10.4366,2.1911,3.0529,3.056,3.056,3.0564,3.0693,3.0693,3.0722,3.0727,3.0727,3.0727,3.0727
Frozen Fisher,FrozenFisher_AND_US_CPI_PTSDK,NTIx,2025-08-29,9,0.5,4.0,1.2011,0.2178,0.2326,0.2326,0.2326,0.2326,0.2326,0.2326,0.2326,0.2326,0.2326,0.2326,0.2326
Frozen Fisher,FrozenFisher_AND_US_CPI_PTSDK,NTk5,2025-07-10,9,0.5,4.0,1.3624,0.2629,0.5007,0.5007,0.5007,0.5007,0.5007,0.5007,0.5007,0.5007,0.5007,0.5007,0.5007
Frozen Fisher,FrozenFisher_AND_US_CPI_PTSDK,ODMx,2025-07-22,9,0.5,4.5,0.4731,0.1051,0.1051,0.1051,0.1662,0.1662,0.1662,0.1662,0.1662,0.1662,0.1662,0.1662,0.1662
Frozen Fisher,FrozenFisher_AND_US_CPI_PTSDK,ODMx,2025-08-03,9,0.5,4.5,0.4754,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105
Frozen Fisher,FrozenFisher_AND_US_CPI_PTSDK_N,ODMx,2025-07-27,9,0.5,4.5,0.3888,0.0864,0.0864,0.1168,0.1168,0.1168,0.1168,0.1168,0.1168,0.1168,0.1168,0.1168,0.1168
Frozen Fisher,FrozenFisher_AND_US_CPI_PTSDK_N,ODMx,2025-08-06,9,0.5,4.5,0.5809,0.1291,0.1291,0.1291,0.1291,0.1291,0.1291,0.1291,0.1291,0.1291,0.1291,0.1291,0.1291
Frozen Fisher,FrozenFisher_AND_US_CPI_PTSDK_N,ODMx,2025-08-12,9,0.5,4.5,1.1191,0.2302,0.2302,0.2302,0.2302,0.2302,0.2302,0.2302,0.2302,0.2302,0.2302,0.2302,0.2302
Frozen Fisher,FrozenFisher_AND_US_CPI_PTSDK_N,ODU5,2025-08-01,9,0.5,4.0,1.3733,0.3104,0.3104,0.3104,0.3104,0.3104,0.3104,0.3104,0.3104,0.3104,0.3104,0.3104,0.3104
Frozen Fisher,FrozenFisher_AND_US_CPI_PTSDK_N,ODU5,2025-08-05,9,0.5,4.0,0.3333,0.0833,0.0849,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867
Frozen Fisher,FrozenFisher_AND_US_CPI_PTSDK_N,ODU5,2025-08-17,9,0.5,4.5,2.6039,0.5786,0.579,0.6185,0.6185,0.6185,0.6185,0.6185,0.6185,0.6185,0.6185,0.6185,0.6185
Frozen Fisher,FrozenFisher_IOS_T1_CPA_SPE_Int,WUpaY0xnb1A3QWNh,2025-07-15,9,0.0,2.18,5.956,1.0003,1.1205,1.1467,1.1467,1.1467,1.1467,1.1467,1.1521,1.1521,1.1521,1.1521,1.1521
Frozen Fisher,FrozenFisher_IOS_T1_CPA_SPE_Int,WUpaY0xnb1A3QWNh,2025-08-02,9,0.0,2.58,8.8801,2.0083,2.7331,3.0702,3.5763,4.0695,4.5691,4.5897,4.6132,6.095,6.6432,6.6432,6.6432
Frozen Fisher,FrozenFisher_IOS_T1_CPA_SPE_Int,WUpaY0xnb1A3QWNh,2025-08-05,9,0.0,2.38,4.6095,0.9245,1.1554,1.4334,1.5482,1.8884,2.0752,2.3188,2.3484,2.5502,2.6204,2.6471,2.6471
Frozen Fisher,FrozenFisher_IOS_T1_CPA_SPE_Int,WUpaY0xnb1A3QWNh,2025-08-07,9,0.0,1.18,3.8604,1.2196,1.2586,1.2959,1.2959,1.2959,1.2959,1.2959,1.2959,1.2959,1.2959,1.2959,1.2959
Frozen Fisher,FrozenFisher_IOS_T1_CPA_SPE_Int,WUpaY0xnb1A3QWNh,2025-08-24,9,0.0,3.58,6.1204,0.8463,1.2981,1.3049,1.358,1.358,1.358,1.358,1.358,1.358,1.358,1.358,1.358
Idle Empires: Battle Simulator,IdleEmpire_AND_KR_CPA_SBL,OXBJQnZVZ0Rjclhn,2025-08-06,9,0.0,1.2,1.4505,1.0892,1.2182,1.3052,1.3052,1.4124,1.4124,1.4124,1.4124,1.8458,1.9522,1.9522,1.9522
Idle Empires: Battle Simulator,IdleEmpire_AND_KR_CPA_SBL,OXBJQnZVZ0Rjclhn,2025-08-07,9,0.0,0.3,2.9691,7.8743,7.8743,7.8743,7.8743,7.8743,7.8743,7.8743,7.8743,7.8743,7.8743,7.8743,7.8743
Idle Empires: Battle Simulator,IdleEmpire_AND_KR_CPA_SBL,OXBJQnZVZ0Rjclhn,2025-08-10,9,0.0,1.5,1.5724,0.4291,0.4473,0.4854,0.4854,0.4854,0.4854,0.4854,0.4854,0.4854,0.4854,0.4854,0.4854
Idle Empires: Battle Simulator,IdleEmpire_AND_KR_CPA_SBL,OXBJQnZVZ0Rjclhn,2025-09-01,9,0.0,1.98,4.0752,1.3544,1.3544,1.3544,1.3544,1.3544,1.3544,1.3544,1.3544,1.3544,1.3544,1.3544,1.3544
Idle Empires: Battle Simulator,IdleEmpire_AND_US_CPA_TBSDK,NTIx,2025-07-23,9,0.0,1.89,1.5747,0.8143,0.8174,0.8174,1.0338,1.1232,1.1232,1.1232,1.1232,1.1232,1.1232,1.1232,1.1232
Idle Empires: Battle Simulator,IdleEmpire_AND_US_CPA_TBSDK,NTIx,2025-07-29,9,0.0,1.68,1.9708,0.9834,1.4511,2.1992,2.4137,2.5218,2.5908,2.7198,2.7198,2.7249,2.7249,2.7249,2.7249
Color Stone Sort,Colorstone_CA_AND_CPI_PTSDK,MTE5,2025-07-02,8,0.5,4.0,2.8898,0.711,0.711,0.711,0.711,0.711,0.711,0.7225,0.7225,0.7275,0.7275,0.7275,0.7275
Color Stone Sort,Colorstone_CA_AND_CPI_PTSDK,MTE5,2025-07-05,8,0.5,3.5,1.445,0.4129,0.4314,0.4316,0.4316,0.4656,0.4656,0.5239,0.5239,0.5239,0.5239,0.5973,0.5973
Color Stone Sort,Colorstone_CA_AND_CPI_PTSDK,NTI4,2025-07-31,8,0.5,3.5,0.9922,0.1267,0.1589,0.1589,0.1651,0.1651,0.1651,0.1651,0.1917,0.1917,0.1917,0.1917,0.2023
Color Stone Sort,Colorstone_CA_AND_CPI_PTSDK,NTI4,2025-08-11,8,0.5,4.0,1.7858,0.3914,0.3914,0.3914,0.3914,0.3914,0.3914,0.3914,0.3914,0.3914,0.3914,0.3914,0.3914
Color Stone Sort,Colorstone_CA_AND_CPI_PTSDK,NTI4,2025-08-12,8,0.5,3.5,2.0246,0.5418,0.6948,0.8176,0.8885,0.8885,0.8885,0.8885,0.8885,0.8885,0.8885,0.8885,0.8885
Color Stone Sort,Colorstone_DE_AND_CPI_PTSDK,MTE5,2025-08-30,8,0.5,3.5,7.0033,1.2978,1.4606,1.4944,1.4944,1.4944,1.4944,1.4944,1.4944,1.4944,1.4944,1.4944,1.4944
Color Stone Sort,Colorstone_DE_AND_CPI_PTSDK,NTI4,2025-07-18,8,0.5,3.5,0.5039,0.1368,0.1421,0.1421,0.1421,0.1421,0.1421,0.1421,0.1421,0.1421,0.1421,0.1421,0.1421
Color Stone Sort,Colorstone_DE_AND_CPI_PTSDK,NTI4,2025-08-23,8,0.5,4.0,0.7075,0.1766,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198
Color Stone Sort,Colorstone_DE_AND_CPI_PTSDK,NTk5,2025-07-10,8,0.5,3.5,0.5375,0.1533,0.2175,0.2175,0.2175,0.2175,0.2175,0.2175,0.2175,0.2175,0.2175,0.2175,0.2175
Color Stone Sort,Colorstone_DE_AND_CPI_PTSDK,NzAz,2025-07-29,8,0.5,3.5,0.8565,0.1285,0.4076,0.4557,0.4557,0.4557,0.4557,0.4557,0.4557,0.4557,0.4557,0.4557,0.4557
Color Stone Sort,Colorstone_FR_AND_CPI_PTSDK,NTIx,2025-07-06,8,0.5,3.5,0.3798,0.0857,0.0857,0.0857,0.0857,0.0857,0.0857,0.0857,0.0857,0.0859,0.0859,0.0859,0.0859
Color Stone Sort,Colorstone_FR_AND_CPI_PTSDK,NTIx,2025-07-07,8,0.5,4.0,0.2623,0.0643,0.0643,0.0665,0.0665,0.0665,0.0665,0.0665,0.0665,0.0665,0.0665,0.0665,0.0665
Color Stone Sort,Colorstone_FR_AND_CPI_PTSDK,NTIx,2025-07-20,8,0.5,4.0,0.6696,0.1088,0.1088,0.1151,0.1151,0.1151,0.1151,0.1151,0.1151,0.1151,0.1151,0.116,0.116
Color Stone Sort,Colorstone_KR_AND_CPA_SBL,OXBJQnZVZ0Rjclhn,2025-07-24,8,0.0,4.25,7.158,0.5854,0.5854,0.5854,0.5888,0.5888,0.5888,0.5888,0.5888,0.6062,0.609,0.6235,0.6235
Color Stone Sort,Colorstone_KR_AND_CPA_SBL,OXBJQnZVZ0Rjclhn,2025-08-19,8,0.0,4.12,6.5772,0.7953,0.9317,1.0896,1.198,1.232,1.3077,1.3495,1.4028,1.4028,1.4028,1.4028,1.4028
Color Stone Sort,Colorstone_KR_AND_CPA_SBL_SKP,OXBJQnZVZ0Rjclhn,2025-08-04,8,0.0,3.14,1.9362,0.3266,0.5694,0.5694,0.6197,0.679,0.6868,0.7437,0.7493,0.7495,0.7495,0.7495,0.7495
Color Stone Sort,Colorstone_KR_AND_CPA_SBL_SKP,OXBJQnZVZ0Rjclhn,2025-08-13,8,0.0,1.84,4.3115,0.856,1.0631,1.1019,1.121,1.121,1.121,1.121,1.121,1.1235,1.1235,1.1235,1.1235
Color Stone Sort,Colorstone_KR_AND_CPA_SBL_SKP,OXBJQnZVZ0Rjclhn,2025-08-16,8,0.0,0.44,1.7405,1.9723,2.3043,2.3043,2.3043,2.3043,2.3043,2.3043,2.4064,2.7857,2.7857,2.7857,2.7857
Color Stone Sort,Colorstone_KR_AND_CPA_SBL_SKP,OXBJQnZVZ0Rjclhn,2025-08-17,8,0.0,0.97,1.7441,0.8285,1.0028,1.207,1.3374,1.3374,1.3626,1.3829,1.4161,2.5664,2.6013,2.6013,2.6013
Color Stone Sort,Colorstone_LATAM_AND_CPA_SMN,NHk5Z01ONldCUTh5,2025-07-05,8,0.0,0.04,0.2262,3.865,4.2175,4.2175,4.2175,4.2175,4.4075,4.6075,4.6075,7.8325,7.8325,7.8325,7.8325
Color Stone Sort,Colorstone_LATAM_AND_CPA_SMN,NHk5Z01ONldCUTh5,2025-07-15,8,0.0,0.04,0.6826,10.3475,10.5675,11.61,12.3875,12.3875,12.3875,12.3875,12.3875,12.855,12.9,12.9,12.925
Color Stone Sort,Colorstone_LATAM_AND_CPA_SMN,NHk5Z01ONldCUTh5,2025-07-22,8,0.0,0.0,0.3894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Color Stone Sort,Colorstone_LATAM_AND_CPA_SMN,NHk5Z01ONldCUTh5,2025-07-28,8,0.0,0.04,0.2848,3.545,4.425,5.6725,5.6725,5.6725,5.6725,5.6725,5.6725,5.6725,5.6725,5.6725,5.6725
Color Stone Sort,Colorstone_LATAM_AND_CPA_SMN,NHk5Z01ONldCUTh5,2025-07-29,8,0.0,0.08,0.3958,3.3712,3.66,3.91,3.9588,4.2062,4.6938,4.6938,4.7325,5.2138,5.6262,5.6262,5.6262
Color Stone Sort,Colorstone_LATAM_AND_CPA_SMN,NHk5Z01ONldCUTh5,2025-08-06,8,0.0,0.18,0.6624,2.7428,3.2717,3.4028,3.7006,3.7983,4.0383,4.1622,4.325,5.5789,6.5428,7.2011,7.2011
Color Stone Sort,Colorstone_LATAM_AND_CPA_SMN,NHk5Z01ONldCUTh5,2025-08-24,8,0.0,0.1,0.5461,3.823,5.231,5.794,5.935,6.05,6.05,6.05,6.05,6.418,6.418,6.418,6.418
Color Stone Sort,Colorstone_LATAM_AND_CPA_SMN,NHk5Z01ONldCUTh5,2025-08-27,8,0.0,0.18,0.2475,0.7856,1.4694,1.5606,1.7867,1.845,1.845,1.845,1.845,1.845,1.845,1.845,1.845
Color Stone Sort,Colorstone_LATAM_AND_CPA_SMN,NHk5Z01ONldCUTh5,2025-09-01,8,0.0,0.15,0.8326,5.2147,5.2147,5.2147,5.2147,5.2147,5.2147,5.2147,5.2147,5.2147,5.2147,5.2147,5.2147
Color Stone Sort,Colorstone_T1_AND_CPA_SMN,NHk5Z01ONldCUTh5,2025-08-27,8,0.0,0.19,3.7865,8.2821,11.3605,11.8253,11.9011,11.9011,11.9011,11.9011,11.9011,11.9011,11.9011,11.9011,11.9011
Color Stone Sort,Colorstone_T1_AND_CPA_SRT,ZnRsYllUZHRUWGRh,2025-07-08,8,0.0,0.3,2.6772,1.828,1.828,1.828,1.828,1.828,1.828,1.828,1.828,1.828,1.828,1.828,1.828
Color Stone Sort,Colorstone_T1_AND_CPI_PTSDK_SSR,NjYx,2025-07-02,8,0.5,3.5,1.109,0.1413,0.1526,0.1599,0.1599,0.1599,0.1599,0.1599,0.165,0.1663,0.1663,0.1663,0.1663
Color Stone Sort,Colorstone_T1_AND_CPI_PTSDK_SSR,NjYx,2025-07-12,8,0.5,4.0,4.006,0.7182,0.8263,0.9085,0.9775,1.0143,1.0321,1.0441,1.0441,1.369,1.5138,1.5138,1.5139
Color Stone Sort,Colorstone_T1_AND_CPI_PTSDK_SSR,NjYx,2025-07-16,8,0.5,4.0,2.7415,0.3441,0.383,0.4261,0.4403,0.4413,0.4413,0.4413,0.4413,0.4413,0.4413,0.4413,0.4413
Color Stone Sort,Colorstone_T1_AND_CPI_PTSDK_SSR,NjYx,2025-07-20,8,0.5,4.0,1.6898,0.2508,0.316,0.316,0.316,0.316,0.3288,0.4252,0.4968,0.59,0.5973,0.5974,0.5974
Color Stone Sort,Colorstone_T2_AND_CPA_SPE_Int,WUpaY0xnb1A3QWNh,2025-07-03,8,0.0,1.36,1.3164,0.6063,0.7304,0.7304,0.7304,1.1554,1.1554,1.1632,1.178,1.2607,1.6819,1.6821,1.7088
Color Stone Sort,Colorstone_T2_AND_CPI_PTSDK_SSR,NjYx,2025-07-02,8,0.5,4.0,1.4463,0.2516,0.2716,0.2716,0.2716,0.2716,0.2716,0.2716,0.2716,0.2716,0.2716,0.2716,0.2716
Color Stone Sort,Colorstone_UK_AND_CPI_PTSDK,Mjgx,2025-07-23,8,0.5,2.5,0.6642,0.2654,0.331,0.37,0.3707,0.371,0.3712,0.3712,0.3712,0.3712,0.3712,0.3712,0.3712
Color Stone Sort,Colorstone_UK_AND_CPI_PTSDK,MTE5,2025-07-07,8,0.5,4.0,3.4916,0.5754,0.8737,0.9156,0.9353,0.9562,1.0372,1.1499,1.225,1.2613,1.2613,1.2857,1.2857
Color Stone Sort,Colorstone_UK_AND_CPI_PTSDK,MTE5,2025-07-08,8,0.5,2.0,3.7649,0.8524,0.8886,0.9478,0.9478,0.954,0.9722,1.0512,1.1871,1.3846,1.3846,1.3967,1.4304
Color Stone Sort,Colorstone_UK_AND_CPI_PTSDK,MTE5,2025-07-16,8,0.5,3.5,3.3291,0.5114,0.6602,0.7192,0.7634,0.9155,0.9972,1.0426,1.0927,1.187,1.2347,1.2914,1.2914
Color Stone Sort,Colorstone_UK_AND_CPI_PTSDK,MTE5,2025-07-17,8,0.5,4.0,3.3248,0.431,0.5993,0.674,0.8087,0.8494,0.8585,0.9312,0.947,1.0407,1.0408,1.0408,1.1892
Color Stone Sort,Colorstone_UK_AND_CPI_PTSDK,MTE5,2025-07-19,8,0.5,3.5,1.9738,0.3494,0.5131,0.6093,0.7249,0.8517,0.9472,0.9784,1.0613,1.5377,1.7802,1.8823,1.9498
Color Stone Sort,Colorstone_UK_AND_CPI_PTSDK,MTE5,2025-07-24,8,0.5,4.0,2.9263,0.3703,0.3768,0.3817,0.3817,0.3817,0.3817,0.3817,0.3817,0.3888,0.3888,0.3888,0.3888
Color Stone Sort,Colorstone_UK_AND_CPI_PTSDK,MTE5,2025-08-09,8,0.5,4.0,2.4934,0.5712,0.678,0.7873,0.8547,0.8549,0.8549,0.8549,0.9006,0.9342,0.9342,0.9434,0.9434
Color Stone Sort,Colorstone_UK_AND_CPI_PTSDK,MTE5,2025-08-10,8,0.5,3.5,7.5639,1.4128,1.4604,1.4604,1.4676,1.4676,1.4729,1.4729,1.4729,1.4827,1.4827,1.4827,1.4827
Color Stone Sort,Colorstone_UK_AND_CPI_PTSDK,MTE5,2025-08-24,8,0.5,3.5,3.8987,0.8056,0.8762,0.8762,0.8762,0.8766,0.8766,0.8766,0.8767,0.8767,0.8767,0.8767,0.8767
Color Stone Sort,Colorstone_UK_AND_CPI_PTSDK,NTI4,2025-07-05,8,0.5,3.5,0.4161,0.1135,0.1137,0.1137,0.1137,0.1137,0.1137,0.1137,0.1137,0.1137,0.1138,0.133,0.133
Color Stone Sort,Colorstone_UK_AND_CPI_PTSDK,NTI4,2025-07-08,8,0.5,4.0,0.5494,0.1014,0.1014,0.1014,0.1014,0.1014,0.1014,0.1014,0.1014,0.1031,0.1031,0.1031,0.1031
Color Stone Sort,Colorstone_UK_AND_CPI_PTSDK,NTI4,2025-07-14,8,0.5,3.5,0.7736,0.1731,0.1731,0.1731,0.1731,0.1731,0.1731,0.1731,0.1731,0.1731,0.1731,0.1731,0.1731
Color Stone Sort,Colorstone_UK_AND_CPI_PTSDK,NTI4,2025-08-04,8,0.5,4.0,0.5017,0.0978,0.1035,0.1035,0.1035,0.1035,0.1035,0.1035,0.1035,0.1036,0.1036,0.1036,0.1036
Color Stone Sort,Colorstone_UK_AND_CPI_PTSDK,NTI4,2025-08-30,8,0.5,3.5,1.015,0.1593,0.1991,0.1991,0.1991,0.1991,0.1991,0.1991,0.1991,0.1991,0.1991,0.1991,0.1991
Color Stone Sort,Colorstone_US_AND_CPA_STS,U0lUMGVWeWhvZWtn,2025-07-03,8,0.0,0.96,2.8464,0.7471,0.825,0.8556,1.0208,1.0208,1.0208,1.0208,1.0208,1.0208,1.0208,1.0208,1.0208
Color Stone Sort,Colorstone_US_AND_CPA_STS,U0lUMGVWeWhvZWtn,2025-07-12,8,0.0,0.72,6.8771,6.8525,7.9361,7.9361,7.9361,7.9361,7.9361,7.9361,7.9361,8.6979,8.6979,8.6979,8.6979
Color Stone Sort,Colorstone_US_AND_CPA_STS,U0lUMGVWeWhvZWtn,2025-07-13,8,0.0,1.8,5.0314,1.0008,1.8609,1.9487,1.9552,1.9552,1.9552,2.0377,2.1077,2.4246,2.5084,2.5084,2.5084
Color Stone Sort,Colorstone_US_AND_CPI_PTSDK,Mjgx,2025-08-05,8,0.5,3.5,7.9577,2.269,2.2898,2.2898,2.2901,2.2901,2.3223,2.3393,2.34,2.3822,2.3822,2.3822,2.3822
Color Stone Sort,Colorstone_US_AND_CPI_PTSDK,NjI3,2025-07-16,8,0.5,3.5,3.427,0.8255,0.8293,0.8293,0.9456,0.9456,0.9456,0.9456,0.9456,0.9456,0.9478,0.9478,0.9478
Color Stone Sort,Colorstone_US_AND_CPI_PTSDK,NjI3,2025-07-20,8,0.5,3.5,6.5454,1.8701,2.0087,2.0175,2.0175,2.0175,2.0175,2.0175,2.0175,2.0175,2.0175,2.0175,2.0175
